close_rev_id,page_id,close_ts,outcome_type,closer
669231854,2477260,20150629200021,stale,Legobot
669239157,29817623,20150629210034,stale,Legobot
669265254,11238753,20150630010031,stale,Legobot
669287283,38714949,20150630050034,stale,Legobot
669342611,43693303,20150630150037,stale,Legobot
669408843,45095012,20150701000041,stale,Legobot
669441180,24938087,20150701060036,stale,Legobot
669483631,38714949,20150701140036,stale,Legobot
669568987,432926,20150702020019,stale,Legobot
669569025,47083175,20150702020038,stale,Legobot
669580356,429655,20150702040015,stale,Legobot
669591118,17655,20150702060014,stale,Legobot
669628512,38430157,20150702130033,stale,Legobot
669642627,46873978,20150702150033,stale,Legobot
669672197,15891635,20150702190033,stale,Legobot
669699796,6210363,20150702230029,stale,Legobot
669712114,67664,20150703010013,stale,Legobot
669719265,432926,20150703020017,stale,Legobot
669719304,38537003,20150703020033,stale,Legobot
669795697,2823542,20150703160020,stale,Legobot
669843446,38567954,20150703230029,stale,Legobot
669855714,47095395,20150704010032,stale,Legobot
669880540,912023,20150704060020,stale,Legobot
669932468,629047,20150704160016,stale,Legobot
670004000,6456379,20150705040041,stale,Legobot
670125915,986140,20150706010017,stale,Legobot
670125945,5855584,20150706010031,stale,Legobot
670140333,46870347,20150706030036,stale,Legobot
670151057,47164321,20150706050033,stale,Legobot
670291075,47083175,20150707020034,stale,Legobot
670317233,17919,20150707060014,stale,Legobot
670317273,5307195,20150707060034,stale,Legobot
670333781,47175368,20150707090033,stale,Legobot
670361251,2271530,20150707140020,stale,Legobot
670361257,2609426,20150707140022,stale,Legobot
670454379,59492,20150708020014,stale,Legobot
670466535,1835444,20150708040017,stale,Legobot
670590732,19863256,20150708230030,stale,Legobot
670624229,900106,20150709040016,stale,Legobot
670678661,39495877,20150709140029,stale,Legobot
670730388,8019326,20150709210029,stale,Legobot
670770869,5910715,20150710030030,stale,Legobot
670947199,44184180,20150711090035,stale,Legobot
670972064,101556,20150711140014,stale,Legobot
671018702,3382510,20150711210028,stale,Legobot
671079365,145913,20150712080014,stale,Legobot
671084496,38714949,20150712090027,stale,Legobot
671122377,255554,20150712160015,stale,Legobot
671220813,2642934,20150713080023,stale,Legobot
671334258,188411,20150714010013,stale,Legobot
671351106,2949605,20150714040018,stale,Legobot
671381713,5294573,20150714100018,stale,Legobot
671392612,4151104,20150714120024,stale,Legobot
671392614,7087197,20150714120026,stale,Legobot
671442072,10436845,20150714190021,stale,Legobot
671457939,18994525,20150714210028,stale,Legobot
671541757,27459788,20150715110028,stale,Legobot
671554681,10648526,20150715130019,stale,Legobot
671618629,503138,20150715220016,stale,Legobot
671859737,689924,20150717140016,stale,Legobot
671918941,1833614,20150717230016,stale,Legobot
671951623,12987581,20150718050018,stale,Legobot
672008178,432926,20150718160015,stale,Legobot
672028565,25282152,20150718190024,stale,Legobot
672059609,219041,20150719000022,stale,Legobot
672104910,475586,20150719090016,stale,Legobot
672355634,13106828,20150721010018,stale,Legobot
672389503,42470235,20150721070027,stale,Legobot
672542589,14933777,20150722070021,stale,Legobot
672667891,411973,20150723020016,stale,Legobot
672703378,45262094,20150723090028,stale,Legobot
672761532,296010,20150723180022,stale,Legobot
672761544,6580444,20150723180027,stale,Legobot
672776936,5960793,20150723200020,stale,Legobot
672776968,41703561,20150723200032,stale,Legobot
672829212,35292712,20150724040032,stale,Legobot
672975463,4818565,20150725050021,stale,Legobot
672979518,39819,20150725060013,stale,Legobot
673003860,22603916,20150725110028,stale,Legobot
673032308,588834,20150725160020,stale,Legobot
673032314,3464855,20150725160024,stale,Legobot
673032318,4180452,20150725160025,stale,Legobot
673084434,46901486,20150726000038,stale,Legobot
673111364,38270155,20150726050026,stale,Legobot
673120818,47773,20150726070012,stale,Legobot
673162485,879596,20150726150023,stale,Legobot
673183651,13313193,20150726180025,stale,Legobot
673212482,101556,20150726220016,stale,Legobot
673246802,2115853,20150727030019,stale,Legobot
673504806,5827,20150728180015,stale,Legobot
673504811,23025,20150728180017,stale,Legobot
673716999,47043031,20150730010028,stale,Legobot
673811068,8157299,20150730170030,stale,Legobot
673877160,3433959,20150731030025,stale,Legobot
673951833,36252532,20150731160037,stale,Legobot
673979996,18212860,20150731200026,stale,Legobot
674035710,18813001,20150801050031,stale,Legobot
674286705,707580,20150802230028,stale,Legobot
674320704,47370758,20150803050039,stale,Legobot
674346328,5417391,20150803100033,stale,Legobot
674362794,2823542,20150803130032,stale,Legobot
674369957,5610530,20150803140034,stale,Legobot
674438249,67448,20150803230022,stale,Legobot
674555543,7764658,20150804180027,stale,Legobot
674620451,31350334,20150805030030,stale,Legobot
674678569,986140,20150805130017,stale,Legobot
674748418,454369,20150805220018,stale,Legobot
674774999,47124090,20150806020031,stale,Legobot
674818209,46653834,20150806100030,stale,Legobot
674834599,30046920,20150806130026,stale,Legobot
674932542,310060,20150807030017,stale,Legobot
674932558,4207401,20150807030022,stale,Legobot
674999808,3433959,20150807150020,stale,Legobot
675007019,45055767,20150807160027,stale,Legobot
675027667,15703074,20150807190024,stale,Legobot
675156878,1429241,20150808170018,stale,Legobot
675194567,4824336,20150808230017,stale,Legobot
675298517,4547063,20150809180021,stale,Legobot
675298532,13085086,20150809180027,stale,Legobot
675304783,405590,20150809190018,stale,Legobot
675364486,33680896,20150810040028,stale,Legobot
675364489,33680896,20150810040029,stale,Legobot
675370126,33680896,20150810050025,stale,Legobot
675438133,9703377,20150810160026,stale,Legobot
675446034,3303098,20150810170017,stale,Legobot
